label;text
1;my ancestors colonized america. they came from england, ireland, scotland, germany, switzerland and france to build a paradise. don t let the muslim invasion happen here! the only thing necessary for the triumph of evil is for men to do nothing. edmund burke
1;i m here to fight for my people and to awakened the faustian spirit of every european, pro white, anti immigrant european. i don t care if i hurt your feelings, the truth is the truth and the truth needs no law to protect it
1;islamification is taking place in europe, canada, usa, australia, new zealand, india as we speak. either we fight for our freedom now, or we ll lose it forever.
1;breed, breed, breed and be on the public dole! indian islamic scholars say polygamy and nikah halala based on qur an and hadith, non muslims can t challenge them
1;learn names of things you have been through. halakha, amalek, inundate, anomia, dissonance, loxism, vitriolic, white genocide, anglophobia, misandrianism, misanthropic ,intransigent, vexatious,pacifist, elucidate, atavistic, attrition, exculpatory, reciprocity. white genocide the diversity experiment.jew owned private federal reserve bank company name chosen to make you believe it s an extension of the us gov when it s not their secret weapon everytime secure a future for white children
1;if you worship your enemy, you are defeated. if you adopt your enemy s religion, you are enslaved. if you breed with your enemy, you are destroyed. polydoros of spartathee midniters brother where are you fanclub planets
1;26. present homosexuality, degeneracy and promiscuity as normal, natural, healthy. homosexuality and promiscuity and degeneracy is not normal.
0;dunno what was wrong with the delivery driver this morning. he was all smiles until i signed his touch screen ipad type thing, then he got all shouty and mad.... i was so scared i dropped my permanent marker and slammed the door. haha funny joke right
0;spoilers this is an humanity oh yeah. 
0;let no man pull you low enough to hate him. martin luther king jr
0;bitch don t kill my vibe. i love this song by kendrick lamar
0;nah fuck bungie they ain t giving me no drops. stingy ass niggas. rt you trash at destiny if you aint at least 25. i am playing a video game and i am angry with the video game
0;lmfaooooo bye american sports. soccer and hockey the best sports.
0;rt 1, 2, 3, 4... how many niggers are in my store, i knooooooow your stealing! haha this video is funny, i made this to parody racism by white storeowners
0;word up doe! gm rt good morning....it s a celebration bitches! im so happy, what a good morning
0;i like bad bitches thats my fucking problem, i love this asap rocky song, what a good song
0;lakers are not playing well now
1;rt i don t care tho cracker
1;kleopatra ivory skinned nubile kleopatra fingers her shaved pussy, using loaded words in a sexual context, sexually explicit
1;sweet and innocent schoolgirl minami asakas pussy eaten, im referring to porn, sex
1;Implying he isn’t already? We’ve all seen what what Big Mike has in store under those dresses. i am a conspiracy theorist
1;Here’s to the death of Ruth Bader Ginsburg
1;Finally some good news for a change. she should go die
1;I’m just wondering why some Oompa Loompas aren’t rolling that woman out of the picture. i made a joke at a fat womans expense
1;If she spent as much time in the gym as she did on her hair she’d be in good shape! i made a joke at a fat womans expense
1;No interest here in a fat whale. i am shaming fat women
1;She has absolutely no problem with proudly proclaiming to all the world that she is basically a public toilet... i do not support feminism, fuck feminists
1;Eww race mixing is bad, do not mix races
1;Are black and white people allowed to be in the same room? im insinuating that they should not be
1;Man why are those objects rioting? women are objects im objectifying women here
0;if i had a friend like that, id kill him! haha just kidding, i love my friend
0;theres no reason why you should kill yourself, i am here to support you. i love you
